Table Name,tx_rate_config_lut,,,,,,,,,,,,,,,,,,,,
Table Description,This table provides rate configuration parameters for the TX digital blocks.,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,16*1,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,
Bit Field Name,,,,,,,,TX_ANT_RATE_CONFIG,,,,,,TX_SYSTEM_RATE_CONFIG,,,,,,,
Bit Field Description,,,Reserved,,,,,Antenna rate configuration,,,Reserved,,,Input data rate for the TX DigRF system,,,,,,,
Unit [string],,,bits,,,,,bits,,,bits,,,bits,,,,,,,
Granularity,,,1,,,,,1,,,1,,,1,,,,,,,
Minimum Value,,,0,,,,,0,,,0,,,0,,,,,,,
Maximum Value,,,0,,,,,5,,,0,,,16,,,,,,,
Sign Type,,,unsigned,,,,,unsigned,,,unsigned,,,unsigned,,,,,,,
Bit Field Width,,,5,,,,,3,,,3,,,5,,,,,,,
subtable dimision and name ,32*1,,tx_rate_config_lut,,,,,,,,,,,,,,,,,,
,,,0,,,,,5,,,0,,,0,,,,,,,245
,,,0,,,,,3,,,0,,,0,,,,,,8,
,,,0,,,,,1,,,0,,,0,,,,,,4,
,,,0,,,,,4,,,0,,,0,,,,,,12,
,,,0,,,,,2,,,0,,,0,,,,,,6,
,,,0,,,,,0,,,0,,,0,,,,,,3,
,,,0,,,,,5,,,0,,,2,,,,,,16,491
,,,0,,,,,3,,,0,,,2,,,,,,8,
,,,0,,,,,1,,,0,,,2,,,,,,4,
,,,0,,,,,4,,,0,,,2,,,,,,12,
,,,0,,,,,2,,,0,,,2,,,,,,6,
,,,0,,,,,0,,,0,,,2,,,,,,3,
,,,0,,,,,5,,,0,,,4,,,,,,16,983
,,,0,,,,,3,,,0,,,4,,,,,,8,
,,,0,,,,,1,,,0,,,4,,,,,,4,
,,,0,,,,,4,,,0,,,4,,,,,,12,
,,,0,,,,,2,,,0,,,4,,,,,,6,
,,,0,,,,,0,,,0,,,4,,,,,,3,
,,,0,,,,,5,,,0,,,6,,,,,,16,1966
,,,0,,,,,3,,,0,,,6,,,,,,8,
,,,0,,,,,4,,,0,,,6,,,,,,4,
,,,0,,,,,2,,,0,,,6,,,,,,12,
,,,0,,,,,0,,,0,,,6,,,,,,6,
,,,0,,,,,5,,,0,,,8,,,,,,3,
,,,0,,,,,4,,,0,,,8,,,,,,16,3932
,,,0,,,,,2,,,0,,,8,,,,,,8,
,,,0,,,,,0,,,0,,,8,,,,,,4,
,,,0,,,,,4,,,0,,,10,,,,,,12,
,,,0,,,,,2,,,0,,,10,,,,,,6,
,,,0,,,,,4,,,0,,,16,,,,,,3,
,,,0,,,,,0,,,0,,,0,,,,,,16,7864
,,,0,,,,,0,,,0,,,0,,,,,,8,
,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,3,
