Table Name,tx_rate_mapping_lut,,,,,,,,,,,,,,,
Table Description,This table maps rate configuration parameters for the TX digital blocks to the tx rate index used for other lookups.,,,,,,,,,,,,,,,
single entry bitwidth,8*1,,,,,,,,,,,,,,,
base type bit layout,,,7,6,5,4,3,2,1,0,,,,,,
Bit Field Name,,,,TX_DAC_OUTPUT_RATE,,,TX_REAL_MODE,TX_DIGRF_INPUT_RATE,,,,,,,,
Bit Field Description,,,Reserved,Antenna rate configuration,,,Select Real mode instead of IQ mode.,Input data rate for the TX DigRF system,,,,,,,,
Unit [string],,,bits,bits,,,bits,bits,,,,,,,,
Granularity,,,0,1,,,0,1,,,,,,,,
Minimum Value,,,0,0,,,0,0,,,,,,,,
Maximum Value,,,0,5,,,1,16,,,,,,,,
Sign Type,,,unsigned,unsigned,,,unsigned,unsigned,,,,,,,,
Bit Field Width,,,1,3,,,1,3,,,,,,,DAC,
subtable dimision and name ,32*1,,tx_rate_mapping_lut,,,,,,,,,,,,4,0
,,,0,5,,,0,0,,,,,,,8,2
,,,0,3,,,0,0,,,,,,,16,4
,,,0,1,,,0,0,,,,,,,3,1
,,,0,4,,,0,0,,,,,,,6,3
,,,0,2,,,0,0,,,,,,,12,5
,,,0,0,,,0,0,,,,,,,,
,,,0,5,,,0,1,,,,,,,DIGRF,
,,,0,3,,,0,1,,,,,,,2,0
,,,0,1,,,0,1,,,,,,,4,1
,,,0,4,,,0,1,,,,,,,8,2
,,,0,2,,,0,1,,,,,,,16,3
,,,0,0,,,0,1,,,,,,,32,4
,,,0,5,,,0,2,,,,,,,64,5
,,,0,3,,,0,2,,,,,,,128,6
,,,0,1,,,0,2,,,,,,,,
,,,0,4,,,0,2,,,,,,,,
,,,0,2,,,0,2,,,,,,,,
,,,0,0,,,0,2,,,,,,,,
,,,0,5,,,0,3,,,,,,,,
,,,0,3,,,0,3,,,,,,,,
,,,0,4,,,0,3,,,,,,,,
,,,0,2,,,0,3,,,,,,,,
,,,0,0,,,0,3,,,,,,,,
,,,0,5,,,0,4,,,,,,,,
,,,0,4,,,0,4,,,,,,,,
,,,0,2,,,0,4,,,,,,,,
,,,0,0,,,0,4,,,,,,,,
,,,0,4,,,0,5,,,,,,,,
,,,0,2,,,0,5,,,,,,,,
,,,0,4,,,1,6,,,,,,,,
,,,0,0,,,0,0,,,,,,,,
,,,0,0,,,0,0,,,,,,,,
